continent,country,position,positionlabel,officeholder,officeholderlabel,start_year,end_year
Europe,Albania,Q1625960,President of Albania,Q727132,Ilir Meta,2017,
Europe,Albania,Q16009376,Prime Minister of Albania,Q316901,Edi Rama,2013,
Europe,Andorra,Q29934221,Patrick Strzoda,Q29934221,Patrick Strzoda,2017,
Europe,Andorra,Q6280481,Josep Maria Mauri,Q6280481,Josep Maria Mauri,2012,
Europe,Andorra,Q30108629,Prime Minister of Andorra,Q21001195,Xavier Espot Zamora,2019,
Europe,Armenia,Q4283840,President of Armenia,Q93153,Armen Sarkissian,2018,2022
Europe,Armenia,Q4283840,President of Armenia,Q20513503,Alen Simonyan,2022,
Europe,Armenia,Q1123764,Prime Minister of Armenia,Q7035479,Nikol Pashinyan,2018,
Europe,Artsakh,Q2407022,President of Artsakh,Q440824,Arayik Harutyunyan,2020,
Europe,Austria,Q475658,President of Austria,Q78869,Alexander Van der Bellen,2017,
Europe,Austria,Q1006398,Chancellor of Austria,Q42860944,Karl Nehammer,2021,
Europe,Azerbaijan,Q205602,President of Azerbaijan,Q57371,Ilham Aliyev,2003,
Europe,Azerbaijan,Q946064,Prime Minister of Azerbaijan,Q12850075,Ali Asadov,2019,
Europe,Belarus,Q1049659,President of Belarus,Q2866,Alexander Lukashenko,1994,
Europe,Belarus,Q12379704,Prime Minister of Belarus,Q27043179,Roman Golovchenko,2020,
Europe,Belgium,Q160913,Monarchy of Belgium,Q155004,Philippe of Belgium,2013,
Europe,Belgium,Q213107,Prime Minister of Belgium,Q476596,Alexander De Croo,2020,
Europe,Bosnia and Herzegovina,Q20525169,Šefik Džaferović,Q20525169,Šefik Džaferović,2018,
Europe,Bosnia and Herzegovina,Q848335,Chairmen of the Presidency of Bosnia and Herzegovina,Q297825,Željko Komšić,2021,
Europe,Bosnia and Herzegovina,Q335688,Milorad Dodik,Q335688,Milorad Dodik,2018,
Europe,Bosnia and Herzegovina,Q16020744,Chairman of the Council of Ministers of Bosnia and Herzegovina,Q12752078,Zoran Tegeltija,2019,
Europe,Bosnia and Herzegovina,Q470446,High Representative for Bosnia and Herzegovina,Q107018,Christian Schmidt (politician),2021,
Europe,Bulgaria,Q14946265,President of Bulgaria,Q26257557,Rumen Radev,2017,
Europe,Bulgaria,Q4404583,Prime Minister of Bulgaria,Q106928258,Kiril Petkov,2021,
Europe,Croatia,Q268984,President of Croatia,Q57687,Zoran Milanović,2020,
Europe,Croatia,Q1195270,Prime Minister of Croatia,Q11685764,Andrej Plenković,2016,
Europe,Cyprus,Q841760,President of Cyprus,Q2112764,Nicos Anastasiades,2013,
Europe,Czech Republic,Q1819381,President of the Czech Republic,Q29032,Miloš Zeman,2013,
Europe,Czech Republic,Q3409229,Prime Minister of the Czech Republic,Q3377548,Petr Fiala,2021,
Europe,Denmark,Q1273134,Monarchy of Denmark,Q102139,Margrethe II of Denmark,1972,
Europe,Denmark,Q795477,Prime Minister of Denmark,Q5015,Mette Frederiksen,2019,
Europe,Donetsk People's Republic,Q16150196,Donetsk People's Republic,Q16514790,Denis Pushilin,2018,
Europe,Donetsk People's Republic,Q16150196,Donetsk People's Republic,Q57588106,Alexander Ananchenko,2018,
Europe,Estonia,Q890005,President of Estonia,Q12358575,Alar Karis,2021,
Europe,Estonia,Q737115,Prime Minister of Estonia,Q11869065,Kaja Kallas,2021,
Europe,Finland,Q29558,President of Finland,Q29207,Sauli Niinistö,2012,
Europe,Finland,Q738695,Prime Minister of Finland,Q16986436,Sanna Marin,2019,
Europe,France,Q191954,President of France,Q3052772,Emmanuel Macron,2017,
Europe,France,Q1587677,Prime Minister of France,Q3171170,Jean Castex,2020,
Europe,Georgia,Q843405,President of Georgia,Q272416,Salome Zurabishvili,2018,
Europe,Georgia,Q1975365,Prime Minister of Georgia,Q6066533,Irakli Garibashvili,2021,
Europe,Germany,Q25223,President of Germany,Q76658,Frank-Walter Steinmeier,2017,
Europe,Germany,Q56022,Chancellor of Germany (1949–),Q61053,Olaf Scholz,2021,
Europe,Greece,Q3409203,President of Greece,Q57415743,Katerina Sakellaropoulou,2020,
Europe,Greece,Q4377230,Prime Minister of Greece,Q552751,Kyriakos Mitsotakis,2019,
Europe,Hungary,Q520765,President of Hungary,Q57467,János Áder,2012,
Europe,Hungary,Q3315094,Prime Minister of Hungary,Q57641,Viktor Orbán,2010,
Europe,Iceland,Q19188924,President of Iceland,Q24045706,Guðni Th. Jóhannesson,2016,
Europe,Iceland,Q19190022,Prime Minister of Iceland,Q467464,Katrín Jakobsdóttir,2017,
Europe,Ireland,Q213702,President of Ireland,Q57276,Michael D. Higgins,2011,
Europe,Ireland,Q191827,Taoiseach,Q920403,Micheál Martin,2020,
Europe,Italy,Q332711,President of Italy,Q3956186,Sergio Mattarella,2015,
Europe,Italy,Q796897,Prime Minister of Italy,Q294460,Mario Draghi,2021,
Europe,Kosovo,Q886947,President of Kosovo,Q13047644,Vjosa Osmani,2021,
Europe,Kosovo,Q116102,Prime Minister of Kosovo,Q441633,Albin Kurti,2021,
Europe,Kosovo,Q784084,Special Representative of the Secretary-General for Kosovo,Q3918330,Zahir Tanin,2015,
Europe,Latvia,Q218014,President of Latvia,Q348043,Egils Levits,2019,
Europe,Latvia,Q369500,Prime Minister of Latvia,Q3736499,Arturs Krišjānis Kariņš,2019,
Europe,Liechtenstein,Q6898090,Prince of Liechtenstein,Q57454,"Hans-Adam II, Prince of Liechtenstein",1989,
Europe,Liechtenstein,Q173843,Regent of Liechtenstein,Q311308,"Alois, Hereditary Prince of Liechtenstein",2004,
Europe,Liechtenstein,Q1144716,Prime Minister of Liechtenstein,Q30882650,Daniel Risch,2021,
Europe,Lithuania,Q878222,President of Lithuania,Q9268379,Gitanas Nausėda,2019,
Europe,Lithuania,Q845439,Prime Minister of Lithuania,Q437096,Ingrida Šimonytė,2020,
Europe,Luhansk People's Republic,Q16746854,Luhansk People's Republic,Q43590358,Leonid Pasechnik,2017,
Europe,Luhansk People's Republic,Q16746854,Luhansk People's Republic,Q21855460,Sergey Kozlov (politician),2015,
Europe,Luxembourg,Q3276071,Grand Duke of Luxembourg,Q16004,"Henri, Grand Duke of Luxembourg",2000,
Europe,Luxembourg,Q29217438,Prime Minister of Luxembourg,Q561213,Xavier Bettel,2013,
Europe,Malta,Q796593,President of Malta,Q1508402,George Vella,2019,
Europe,Malta,Q152814,Prime Minister of Malta,Q37860840,Robert Abela,2020,
Europe,Moldova,Q312271,President of Moldova,Q15071069,Maia Sandu,2020,
Europe,Moldova,Q1769526,Prime Minister of Moldova,Q105193792,Natalia Gavrilița,2021,
Europe,Monaco,Q2457774,Monarchy of Monaco,Q3910,"Albert II, Prince of Monaco",2005,
Europe,Monaco,Q1655971,Minister of State (Monaco),Q20556507,Pierre Dartout,2020,
Europe,Montenegro,Q1149153,President of Montenegro,Q200305,Milo Đukanović,2018,
Europe,Montenegro,Q2353252,Prime Minister of Montenegro,Q97999161,Zdravko Krivokapić,2020,
Europe,Netherlands,Q302958,Monarchy of the Netherlands,Q154952,Willem-Alexander of the Netherlands,2013,
Europe,Netherlands,Q3058109,Prime Minister of the Netherlands,Q57792,Mark Rutte,2010,
Europe,North Macedonia,Q678492,President of North Macedonia,Q15967423,Stevo Pendarovski,2019,
Europe,North Macedonia,Q1776220,Prime Minister of Macedonia,Q220579,Zoran Zaev,2020,2022
Europe,North Macedonia,Q1776220,Prime Minister of Macedonia,Q110288715,Dimitar Kovačevski,2022,
Europe,Northern Cyprus,Q2354210,President of Northern Cyprus,Q6057339,Ersin Tatar,2020,
Europe,Northern Cyprus,Q2662165,Prime Minister of Northern Cyprus,Q47189019,Faiz Sucuoğlu,2021,
Europe,Norway,Q1294765,Monarchy of Norway,Q57287,Harald V of Norway,1991,
Europe,Norway,Q2334076,Prime Minister of Norway,Q467948,Jonas Gahr Støre,2021,
Europe,Poland,Q1054799,President of Poland,Q9151911,Andrzej Duda,2015,
Europe,Poland,Q3259469,Prime Minister of Poland,Q11771436,Mateusz Morawiecki,2017,
Europe,Portugal,Q322459,President of Portugal,Q6756617,Marcelo Rebelo de Sousa,2016,
Europe,Portugal,Q1723031,Prime Minister of Portugal,Q610788,António Costa,2015,
Europe,Romania,Q839139,President of Romania,Q701484,Klaus Iohannis,2014,
Europe,Romania,Q15304810,Prime Minister of Romania,Q28950289,Nicolae Ciucă,2021,
Europe,Russia,Q218295,President of Russia,Q7747,Vladimir Putin,2012,
Europe,Russia,Q842386,Prime Minister of Russia,Q4298520,Mikhail Mishustin,2020,
Europe,San Marino,Q258045,Captains Regent,Q887796,Francesco Mussoni,2021,
Europe,Serbia,Q889830,President of Serbia,Q222031,Aleksandar Vučić,2017,
Europe,Serbia,Q835586,Prime Minister of Serbia,Q26258815,Ana Brnabić,2017,
Europe,Slovakia,Q6468838,President of Slovakia,Q26273268,Zuzana Čaputová,2019,
Europe,Slovakia,Q45369,Prime Minister of Slovakia,Q46227987,Eduard Heger,2021,
Europe,Slovenia,Q495877,President of Slovenia,Q206471,Borut Pahor,2012,
Europe,Slovenia,Q45758,Prime Minister of Slovenia,Q57627,Janez Janša,2020,
Europe,South Ossetia,Q2327278,President of South Ossetia,Q3545676,Anatoliy Bibilov,2017,
Europe,South Ossetia,Q2332585,Prime Minister of South Ossetia,Q105674235,Gennady Bekoyev,2020,
Europe,Spain,Q889833,Monarchy of Spain,Q191045,Felipe VI of Spain,2014,
Europe,Spain,Q844587,Prime Minister of Spain,Q6070218,Pedro Sánchez (Spanish politician),2018,
Europe,Sweden,Q26796319,Monarchy of Sweden,Q45068,Carl XVI Gustaf of Sweden,1973,
Europe,Sweden,Q687075,Prime Minister of Sweden,Q4935873,Magdalena Andersson,2021,
Europe,Switzerland,Q120917,Viola Amherd,Q123979,Ueli Maurer,2009,
Europe,Transnistria,Q2630370,President of Transnistria,Q2035881,Vadim Krasnoselsky,2016,
Europe,Transnistria,Q3916691,Prime Minister of Transnistria,Q28120974,Aleksandr Martynov (Transnistrian politician),2016,
Europe,Ukraine,Q579677,President of Ukraine,Q3874799,Volodymyr Zelensky,2019,
Europe,Ukraine,Q1145714,Prime Minister of Ukraine,Q66094865,Denys Shmyhal,2020,
Europe,United Kingdom,Q739941,Monarchy of the United Kingdom,Q9682,Elizabeth II,1952,
Europe,United Kingdom,Q14211,Prime Minister of the United Kingdom,Q180589,Boris Johnson,2019,
Europe,Vatican City,Q40483,List of sovereigns of Vatican City State,Q19546,Pope,2013,
Europe,Vatican City,Q7478146,President of the Pontifical Commission for Vatican City State,Q15060665,Fernando Vérgez Alzaga,2021,
Europe,Vatican City,Q1054345,Cardinal Secretary of State,Q574058,Pietro Parolin,2013,
North America,Antigua and Barbuda,Q3244203,Monarchy of Antigua and Barbuda,Q9682,Elizabeth II,1981,
North America,Antigua and Barbuda,Q602280,Governor-General of Antigua and Barbuda,Q17566330,Rodney Williams (governor-general),2014,
North America,Antigua and Barbuda,Q20682527,Prime Minister of Antigua and Barbuda,Q17177542,Gaston Browne,2014,
North America,The Bahamas,Q3244497,Monarchy of the Bahamas,Q9682,Elizabeth II,1973,
North America,The Bahamas,Q5589512,Governor-General of the Bahamas,Q64853457,Cornelius A. Smith,2019,
North America,The Bahamas,Q565424,Prime Minister of the Bahamas,Q7183082,Philip Davis (Bahamian politician),2021,
North America,Barbados,Q108857904,President of Barbados,Q9333540,Sandra Mason,2021,
North America,Barbados,Q15921525,Prime Minister of Barbados,Q6827147,Mia Mottley,2018,
North America,Belize,Q47198,Monarchy of Belize,Q9682,Elizabeth II,1981,
North America,Belize,Q1281030,Governor-General of Belize,Q106601151,Froyla Tzalam,2021,
North America,Belize,Q30100540,Prime Minister of Belize,Q6266369,Johnny Briceño,2020,
North America,Canada,Q508840,Monarchy of Canada,Q9682,Elizabeth II,1952,
North America,Canada,Q390776,Governor General of Canada,Q6780723,Mary Simon,2021,
North America,Canada,Q839078,Prime Minister of Canada,Q3099714,Justin Trudeau,2015,
North America,Costa Rica,Q27977064,President of Costa Rica,Q26996246,Carlos Alvarado Quesada,2018,
North America,Cuba,Q5453787,First Secretary of the Communist Party of Cuba,Q1932603,Miguel Díaz-Canel,2021,
North America,Cuba,Q1370482,President of Cuba,Q1932603,Miguel Díaz-Canel,2018,
North America,Cuba,Q6502015,Prime Minister of Cuba,Q79358625,Manuel Marrero Cruz,2019,
North America,Dominica,Q878188,President of Dominica,Q2960197,Charles Savarin,2013,
North America,Dominica,Q1756747,Prime Minister of Dominica,Q57823,Roosevelt Skerrit,2004,
North America,Dominican Republic,Q607982,President of the Dominican Republic,Q16594097,Luis Abinader,2020,
North America,El Salvador,Q878151,President of El Salvador,Q17712353,Nayib Bukele,2019,
North America,Grenada,Q1566705,Monarchy of Grenada,Q9682,Elizabeth II,1974,
North America,Grenada,Q655829,Governor-General of Grenada,Q11964294,Cécile La Grenade,2013,
North America,Grenada,Q1276041,Prime Minister of Grenada,Q370110,Keith Mitchell,2013,
North America,Guatemala,Q6085537,President of Guatemala,Q2134696,Alejandro Giammattei,2020,
North America,Haiti,Q3290543,President of Haiti,Q107451258,Ariel Henry,2021,
North America,Haiti,Q1064589,Prime Minister of Haiti,Q107451258,Ariel Henry,2021,
North America,Honduras,Q13341442,President of Honduras,Q5951723,Juan Orlando Hernández,2014,2022
North America,Honduras,Q13341442,President of Honduras,Q8044708,Xiomara Castro,2022,
North America,Jamaica,Q6898088,Monarchy of Jamaica,Q9682,Elizabeth II,1962,
North America,Jamaica,Q1472951,Governor-General of Jamaica,Q109147,Patrick Allen (governor-general),2009,
North America,Jamaica,Q1430943,Prime Minister of Jamaica,Q505200,Andrew Holness,2016,
North America,Mexico,Q628004,President of Mexico,Q318508,Andrés Manuel López Obrador,2018,
North America,Nicaragua,Q852448,President of Nicaragua,Q57402,Daniel Ortega,2007,
North America,Panama,Q96357496,President of Panama,Q28122455,Laurentino Cortizo,2019,
North America,Saint Kitts and Nevis,Q3299295,Monarchy of Saint Kitts and Nevis,Q9682,Elizabeth II,1983,
North America,Saint Kitts and Nevis,Q35918814,Governor-General of Saint Kitts and Nevis,Q20995517,Tapley Seaton,2015,
North America,Saint Kitts and Nevis,Q1826842,Prime Minister of Saint Kitts and Nevis,Q3529064,Timothy Harris,2015,
North America,Saint Lucia,Q1564547,Monarchy of Saint Lucia,Q9682,Elizabeth II,1979,
North America,Saint Lucia,Q1279695,Governor-General of Saint Lucia,Q109557998,Errol Charles,2021,
North America,Saint Lucia,Q934245,Prime Minister of Saint Lucia,Q7184214,Philip Pierre,2021,
North America,Saint Vincent and the Grenadines,Q1566694,Monarchy of Saint Vincent and the Grenadines,Q9682,Elizabeth II,1979,
North America,Saint Vincent and the Grenadines,Q177360,Governor-General of Saint Vincent and the Grenadines,Q66088003,Susan Dougan,2019,
North America,Saint Vincent and the Grenadines,Q527660,Prime Minister of Saint Vincent and the Grenadines,Q57800,Ralph Gonsalves,2001,
North America,Trinidad and Tobago,Q2522739,President of Trinidad and Tobago,Q47461098,Paula-Mae Weekes,2018,
North America,Trinidad and Tobago,Q1147540,Prime Minister of Trinidad and Tobago,Q6384971,Keith Rowley,2015,
North America,United States,Q11696,President of the United States,Q6279,Joe Biden,2021,
Oceania,Australia,Q669459,Monarchy of Australia,Q9682,Elizabeth II,1952,
Oceania,Australia,Q610669,Governor-General of Australia,Q5235277,David Hurley,2019,
Oceania,Australia,Q319145,Prime Minister of Australia,Q7436908,Scott Morrison,2018,
Oceania,Fiji,Q76292543,President of Fiji,Q109012733,Wiliame Katonivere,2021,
Oceania,Fiji,Q1469153,Prime Minister of Fiji,Q57830,Frank Bainimarama,2007,
Oceania,Kiribati,Q878250,President of Kiribati,Q23034482,Taneti Mamau,2016,
Oceania,Marshall Islands,Q718550,President of the Marshall Islands,Q20658229,David Kabua,2020,
Oceania,Micronesia,Q1262113,President of Micronesia,Q63872093,David W. Panuelo,2019,
Oceania,Nauru,Q628102,President of Nauru,Q66765492,Lionel Aingimea,2019,
Oceania,New Zealand,Q4296,Monarchy of New Zealand,Q9682,Elizabeth II,1952,
Oceania,New Zealand,Q455690,Governor-General of New Zealand,Q17180701,Cindy Kiro,2021,
Oceania,New Zealand,Q1071117,Prime Minister of New Zealand,Q3606816,Jacinda Ardern,2017,
Oceania,Palau,Q878329,President of Palau,Q26703072,Surangel Whipps Jr.,2021,
Oceania,Papua New Guinea,Q3320125,Monarchy of Papua New Guinea,Q9682,Elizabeth II,1975,
Oceania,Papua New Guinea,Q1073440,Governor-General of Papua New Guinea,Q28647870,Bob Dadae,2017,
Oceania,Papua New Guinea,Q1074656,Prime Minister of Papua New Guinea,Q6138903,James Marape,2019,
Oceania,Samoa,Q1258128,O le Ao o le Malo,Q32014514,Tuimalealiʻifano Vaʻaletoʻa Sualauvi II,2017,
Oceania,Samoa,Q1277355,Prime Minister of Samoa,Q5446290,Fiamē Naomi Mataʻafa,2021,
Oceania,Solomon Islands,Q3320135,Monarchy of the Solomon Islands,Q9682,Elizabeth II,1978,
Oceania,Solomon Islands,Q1840326,Governor-General of the Solomon Islands,Q5240675,David Vunagi,2019,
Oceania,Solomon Islands,Q1425954,Prime Minister of the Solomon Islands,Q536063,Manasseh Sogavare,2019,
Oceania,Tonga,Q836240,Monarchy of Tonga,Q208497,Tupou VI,2012,
Oceania,Tonga,Q915636,Prime Minister of Tonga,Q19631293,Siaosi Sovaleni,2021,
Oceania,Tuvalu,Q3320130,Monarchy of Tuvalu,Q9682,Elizabeth II,1978,
Oceania,Tuvalu,Q644809,Governor-General of Tuvalu,Q108906680,Tofiga Vaevalu Falani,2021,
Oceania,Tuvalu,Q592866,Prime Minister of Tuvalu,Q6378927,Kausea Natano,2019,
Oceania,Vanuatu,Q878217,President of Vanuatu,Q32060530,Tallis Obed Moses,2017,
Oceania,Vanuatu,Q1029958,Prime Minister of Vanuatu,Q16190741,Bob Loughman,2020,
South America,Argentina,Q12969145,President of Argentina,Q2642828,Alberto Fernández,2019,
South America,Bolivia,Q373548,President of Bolivia,Q16149892,Luis Arce,2020,
South America,Brazil,Q5176750,President of Brazil,Q10304982,Jair Bolsonaro,2019,
South America,Chile,Q466956,President of Chile,Q306,Sebastián Piñera,2018,2022
South America,Chile,Q466956,President of Chile,Q16297876,Gabriel Boric,2022,
South America,Colombia,Q853475,President of Colombia,Q17478000,Iván Duque Márquez,2018,
South America,Ecuador,Q732562,President of Ecuador,Q4414537,Guillermo Lasso,2021,
South America,Guyana,Q685925,President of Guyana,Q64840184,Irfaan Ali,2020,
South America,Guyana,Q20725053,Prime Minister of Guyana,Q98053664,Mark Phillips (Guyana),2020,
South America,Paraguay,Q34071,President of Paraguay,Q48136013,Mario Abdo Benítez,2018,
South America,Peru,Q5708511,President of Peru,Q103838608,Pedro Castillo,2021,
South America,Peru,Q1758412,Prime Minister of Peru,Q84282244,Mirtha Vásquez,2021,2022
South America,Peru,Q1758412,Prime Minister of Peru,Q107494080,Héctor Valer,,2022
South America,Peru,Q1758412,Prime Minister of Peru,Q107721951,Aníbal Torres,2022,
South America,Suriname,Q878254,President of Suriname,Q333135,Chan Santokhi,2020,
South America,Uruguay,Q4524807,President of Uruguay,Q6800406,Luis Lacalle Pou,2020,
South America,Venezuela,Q11942698,President of Venezuela,Q58132,Nicolás Maduro,2013,
South America,Venezuela,Q6597955,President of the National Assembly of Venezuela,Q58833335,Juan Guaidó,2019,
